employee_id,full_name,email,department,title,hire_date,term_date,employment_type,status
E00873,Trevor Miranda,trevor.miranda@meridian-energy.com,Field Services,"Administrator, charities/voluntary organ",2023-02-06,,FTE,active
E01148,Amy Caldwell,amy.caldwell@meridian-energy.com,Finance & Accounting,Sales executive,2017-04-19,,FTE,active
E00025,Kara Morgan,kara.morgan@meridian-energy.com,Engineering,Waste management officer,2020-02-29,,FTE,active
E00275,Bradley Howard,bradley.howard@meridian-energy.com,Operations,"Therapist, speech and language",2015-11-04,,FTE,active
E00171,William Burns,william.burns@meridian-energy.com,Finance & Accounting,Audiological scientist,2015-10-19,,FTE,active
E01020,Catherine Turner,catherine.turner@meridian-energy.com,Sales & Key Accounts,Telecommunications researcher,2019-01-21,,FTE,active
E00137,Stacy Liu,stacy.liu@meridian-energy.com,information technology,Architectural technologist,2011-12-08,,FTE,active
E00065,Christopher Kelley,christopher.kelley@meridian-energy.com,Field Services,Astronomer,2026-02-01,,Contractor,active
E00772,Natalie Moore,natalie.moore@meridian-energy.com,Marketing,Armed forces training and education offi,2020-05-29,,FTE,active
E00426,Henry Davis,henry.davis@meridian-energy.com,Finance & Accounting,Probation officer,2018-06-05,,FTE,active
E00947,Cynthia Phillips,cynthia.phillips@meridian-energy.com,Engineering,Paediatric nurse,2015-01-17,,FTE,active
E00503,Matthew Johnson,matthew.johnson@meridian-energy.com,Operations,"Editor, magazine features",2012-01-10,,FTE,active
E01101,Levi Ruiz,levi.ruiz@meridian-energy.com,Procurement,Conference centre manager,2021-08-09,,FTE,active
E00314,Ashley House,ashley.house@meridian-energy.com,Field Services,Herpetologist,2013-09-17,,Contractor,active
E00744,Christine Joseph,christine.joseph@meridian-energy.com,Finance & Accounting,Dancer,2022-08-20,,FTE,active
E00418,Walter Willis,walter.willis@meridian-energy.com,Field Services,"Scientist, research (life sciences)",2023-06-17,,FTE,active
E01097,Michelle Sosa,michelle.sosa@meridian-energy.com,Operations,Public house manager,2014-01-07,,FTE,active
E00756,Elizabeth Perez,elizabeth.perez@meridian-energy.com,Operations,Public house manager,2013-07-25,2026-07-06,FTE,terminated
E00836,Sarah Smith,sarah.smith@meridian-energy.com,Procurement,Medical laboratory scientific officer,2022-03-21,,FTE,active
E00339,Shane Fisher,shane.fisher@meridian-energy.com,Operations,"Scientist, water quality",2014-08-15,,FTE,active
E01171,Tammy White,tammy.white@meridian-energy.com,Human Resources,Therapeutic radiographer,2019-11-21,,FTE,active
E00804,Christina Cobb,christina.cobb@meridian-energy.com,Information Technology,Tax inspector,2014-05-18,,FTE,active
E00218,Joyce Woods,joyce.woods@meridian-energy.com,Operations,Herbalist,2012-07-30,,FTE,active
E00906,Isaac Campbell,isaac.campbell@meridian-energy.com,Field Services,"Loss adjuster, chartered",2012-09-26,,FTE,active
E00043,Joshua Brown,joshua.brown@meridian-energy.com,Marketing,Orthoptist,2012-05-07,,FTE,active
E01195,Christina Gonzalez,christina.gonzalez@meridian-energy.com,Operations,Sales executive,2016-12-28,,FTE,active
E00627,James Blair,james.blair@meridian-energy.com,Customer Care,Toxicologist,2023-03-23,,FTE,active
E00852,Jason Ramos,jason.ramos@meridian-energy.com,Field Services,Museum/gallery curator,2017-02-12,,FTE,active
E00584,Kelly Richards,kelly.richards@meridian-energy.com,Customer Care,Food technologist,2017-02-23,,FTE,active
E00484,Margaret Owens,margaret.owens@meridian-energy.com,Operations,"Pharmacist, community",2012-08-18,,FTE,active
E00962,Christina Calhoun,christina.calhoun@meridian-energy.com,Customer Care,Higher education lecturer,2021-03-05,,FTE,active
E01118,Michael Ryan,michael.ryan@meridian-energy.com,Operations,"Geneticist, molecular",2018-01-08,,FTE,active
E00368,Marissa Santos,marissa.santos@meridian-energy.com,Operations,Geographical information systems officer,2022-08-24,,FTE,active
E00238,Paige Smith,paige.smith@meridian-energy.com,Operations,"Psychotherapist, dance movement",2021-11-28,,FTE,active
E00425,Daniel Lawson,daniel.lawson@meridian-energy.com,Engineering,Microbiologist,2020-02-05,,FTE,active
E01010,Charles Morton,charles.morton@meridian-energy.com,Field Services,Chief Technology Officer,2017-11-12,,FTE,active
E00491,Jason Andrews,jason.andrews@meridian-energy.com,Operations,Aid worker,2023-11-10,,FTE,active
E01196,Dawn Wilson,dawn.wilson@meridian-energy.com,Operations,Archaeologist,2013-06-01,,FTE,active
E00431,Angel Benson,angel.benson@meridian-energy.com,Operations,Hydrogeologist,2025-05-19,,FTE,active
E00148,Mary Norris,mary.norris@meridian-energy.com,ENGINEERING,Social researcher,2013-08-05,,FTE,active
E00338,Stephanie Lynch,stephanie.lynch@meridian-energy.com,Field Services,Insurance claims handler,2021-04-02,,Contractor,active
E00980,James Price,james.price@meridian-energy.com,Field Services,"Psychotherapist, dance movement",2013-02-09,,Contractor,active
E00495,Paula Hart,paula.hart@meridian-energy.com,Legal & Compliance,Broadcast engineer,2022-01-22,,FTE,active
E00420,Amanda Allen,amanda.allen@meridian-energy.com,Field Services,Graphic designer,2022-10-08,,FTE,active
E00623,Heather Reynolds,heather.reynolds@meridian-energy.com,Field Services,Research scientist (physical sciences),2022-03-20,,FTE,active
E00010,Stephanie Murphy,stephanie.murphy@meridian-energy.com,Operations,Interior and spatial designer,2018-04-26,,FTE,active
E00899,Dawn Stevenson,dawn.stevenson@meridian-energy.com,Field Services,Special educational needs teacher,2025-12-30,2026-08-05,FTE,terminated
E00837,Daniel English,daniel.english@meridian-energy.com,Operations,Leisure centre manager,2019-10-13,,FTE,active
E00891,Christine Brown,christine.brown@meridian-energy.com,Operations,"Development worker, international aid",2026-02-20,,FTE,active
E00856,Charles Freeman,charles.freeman@meridian-energy.com,Operations,Sales promotion account executive,2026-07-17,,FTE,active
E00748,Kaitlyn Clark,kaitlyn.clark@meridian-energy.com,Operations,"Biochemist, clinical",2022-11-27,,FTE,active
E00871,Lisa Hendricks,lisa.hendricks@meridian-energy.com,Operations,Clinical molecular geneticist,2021-09-07,,FTE,active
E00468,Angelica Riggs,angelica.riggs@meridian-energy.com,Operations,Museum/gallery conservator,2025-03-02,,FTE,active
E00647,Lisa Johnson,lisa.johnson@meridian-energy.com,Customer Care,"Engineer, maintenance",2021-05-29,,FTE,active
E00228,Timothy Cain,timothy.cain@meridian-energy.com,Operations,Bonds trader,2015-12-09,,FTE,active
E01026,Jillian Beasley,jillian.beasley@meridian-energy.com,Operations,Public affairs consultant,2024-07-30,,FTE,active
E01133,Frances Williams,frances.williams@meridian-energy.com,Operations,"Designer, ceramics/pottery",2013-02-14,,FTE,active
E00187,Kevin Newman,kevin.newman@meridian-energy.com,Operations,Special educational needs teacher,2026-01-16,,FTE,active
E00076,Carrie Hess,carrie.hess@meridian-energy.com,Legal & Compliance,Warden/ranger,2016-12-20,,FTE,active
E00485,Tammy Barnes,tammy.barnes@meridian-energy.com,Operations,"Solicitor, Scotland",2023-05-18,,FTE,active
E00245,John Black,john.black@meridian-energy.com,Finance & Accounting,Police officer,2011-10-25,,FTE,active
E00549,Jason Buckley,jason.buckley@meridian-energy.com,Operations,"Lecturer, further education",2023-04-09,,FTE,active
E00604,Christian Kidd,christian.kidd@meridian-energy.com,Customer Care,Diagnostic radiographer,2016-06-21,,FTE,active
E01162,Joseph Carter,joseph.carter@meridian-energy.com,Field Services,"Engineer, civil (contracting)",2014-08-09,,FTE,active
E00422,Kenneth Johnson,kenneth.johnson@meridian-energy.com,Operations,Archivist,2017-02-12,,FTE,active
E01029,David Lara,david.lara@meridian-energy.com,Engineering,"Psychologist, forensic",2022-02-20,,FTE,active
E00994,Misty Williams,misty.williams@meridian-energy.com,Information Technology,Private music teacher,2024-08-19,,FTE,active
E00140,Michael Francis,michael.francis@meridian-energy.com,Field Services,Financial manager,2020-03-09,,Contractor,active
E01197,Bethany Green,bethany.green@meridian-energy.com,Operations,TEFL teacher,2012-05-12,,FTE,active
E01055,Stacey Rodriguez,stacey.rodriguez@meridian-energy.com,Operations,"Producer, radio",2024-04-03,,FTE,active
E00854,Jared Santos,jared.santos@meridian-energy.com,Procurement,Pensions consultant,2012-10-24,,FTE,active
E00301,Monica Brown,monica.brown@meridian-energy.com,Customer Care,"Teacher, adult education",2018-01-14,,FTE,active
E00486,Jason Brown,jason.brown@meridian-energy.com,Sales & Key Accounts,Estate manager/land agent,2015-07-11,,FTE,active
E00926,Katie Chambers,katie.chambers@meridian-energy.com,Finance & Accounting,Amenity horticulturist,2012-02-19,,FTE,active
E00075,Marvin Bender,marvin.bender@meridian-energy.com,Field Services,Plant breeder/geneticist,2024-05-06,,FTE,active
E00290,Noah Howard,noah.howard@meridian-energy.com,Operations,Barrister's clerk,2012-10-21,,FTE,active
E00205,Matthew Garcia,matthew.garcia@meridian-energy.com,Field Services,"Editor, commissioning",2014-11-02,,FTE,active
E00244,Aaron Wilson,aaron.wilson@meridian-energy.com,Finance & Accounting,Education administrator,2025-05-21,,FTE,active
E00975,Dean Jones,dean.jones@meridian-energy.com,Customer Care,"Presenter, broadcasting",2017-01-10,,Contractor,active
E01122,Victoria MD,victoria.md@meridian-energy.com,CUSTOMER CARE,Contracting civil engineer,2015-09-01,,FTE,active
E00841,Logan Hodges,logan.hodges@meridian-energy.com,Operations,Town planner,2018-09-21,,FTE,active
E00630,Tina Howe,tina.howe@meridian-energy.com,Operations,Editorial assistant,2020-12-21,,FTE,active
E01089,Robert Salas,robert.salas@meridian-energy.com,Customer Care,"Nurse, adult",2022-11-08,,FTE,active
E00362,Gabrielle Hoffman,gabrielle.hoffman@meridian-energy.com,Operations,"Engineer, agricultural",2012-08-19,,FTE,active
E00583,Adrian Willis,adrian.willis@meridian-energy.com,Operations,"Loss adjuster, chartered",2020-07-06,,FTE,active
E00847,Wendy Wright,wendy.wright@meridian-energy.com,Operations,Chief Strategy Officer,2023-11-26,,FTE,active
E00577,Jamie Alvarez,jamie.alvarez@meridian-energy.com,operations,Prison officer,2016-04-12,,FTE,active
E00223,Kimberly Kent,kimberly.kent@meridian-energy.com,Operations,Marine scientist,2012-06-24,,FTE,active
E00942,Katherine Tucker,katherine.tucker@meridian-energy.com,Operations,"Optician, dispensing",2017-08-24,,FTE,active
E01160,Nicholas Roberts,nicholas.roberts@meridian-energy.com,Marketing,"Engineer, control and instrumentation",2019-01-01,,FTE,active
E01132,Rebecca Dillon,rebecca.dillon@meridian-energy.com,Operations,Patent examiner,2024-01-07,,FTE,active
E00839,Kelly DVM,kelly.dvm@meridian-energy.com,Executive,Medical secretary,2011-10-16,,FTE,active
E00461,Cody Brady,cody.brady@meridian-energy.com,Field Services,Horticultural therapist,2014-05-05,2026-06-15,FTE,terminated
E00165,Jordan Shelton,jordan.shelton@meridian-energy.com,Operations,Games developer,2023-11-28,,FTE,active
E00444,James Oneal,james.oneal@meridian-energy.com,Customer Care,Civil Service administrator,2014-07-28,,FTE,active
E00696,Aaron Morales,aaron.morales@meridian-energy.com,Field Services,Animal technologist,2014-08-26,,Contractor,active
E00893,Melissa Burke,melissa.burke@meridian-energy.com,Operations,"Education officer, environmental",2025-10-30,,FTE,active
E00219,Sherry Maxwell,sherry.maxwell@meridian-energy.com,Operations,"Engineer, broadcasting (operations)",2020-02-12,,FTE,active
E00487,Kristen Wong,kristen.wong@meridian-energy.com,Customer Care,"Geneticist, molecular",2013-07-28,,FTE,active
E00540,Taylor Mcgee,taylor.mcgee@meridian-energy.com,Field Services,"Therapist, nutritional",2026-03-28,,Contractor,active
E00154,Joyce Kennedy,joyce.kennedy@meridian-energy.com,Operations,Fitness centre manager,2019-02-13,,FTE,active
E00721,Heather Macdonald,heather.macdonald@meridian-energy.com,Field Services,Land,2018-02-15,,FTE,active
E00678,Jonathan Stanley,jonathan.stanley@meridian-energy.com,Customer Care,Research scientist (maths),2021-10-01,,FTE,active
E00112,Jerry Marshall,jerry.marshall@meridian-energy.com,Operations,Agricultural engineer,2026-04-19,,FTE,active
E01193,Kevin Raymond,kevin.raymond@meridian-energy.com,Operations,Academic librarian,2022-11-09,,FTE,active
E00728,Krista King,krista.king@meridian-energy.com,Operations,"Geneticist, molecular",2020-10-25,,FTE,active
E00164,Ethan Scott,ethan.scott@meridian-energy.com,Operations,"Engineer, drilling",2013-08-12,,FTE,active
E00472,George Taylor,george.taylor@meridian-energy.com,Operations,Optometrist,2018-02-15,,FTE,active
E00246,Brittany Collins,brittany.collins@meridian-energy.com,Engineering,"Engineer, civil (contracting)",2017-09-25,,Contractor,active
E00081,Jason Hartman,jason.hartman@meridian-energy.com,Customer Care,"Lighting technician, broadcasting/film/v",2019-02-06,,FTE,active
